"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261764988/0/60/45/a716f858de82d10541143e2316f6159b/15/7be2d7d460ec55866e013acb6b4e5318/261764988.JPG","F1442200","Residential Detached","S","54 7790 KING GEORGE BOULEVARD","East Newton","$22,000","8","2","9999","0.00","MANUF","5/29/2015","$22,000"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261638812/0/60/45/4a30f120be4302c8f9eafcf5caf78dff/14/09cd76fc176fec5ff578ba237a9bc8d9/261638812.JPG","H2151320","Residential Detached","S","48 6035 VEDDER ROAD","Sardis West Vedder Rd","$28,000","52","2","1969","0.00","MANUF","5/26/2015","$28,000"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261634417/0/60/45/146cf3d16aee13e790a45468c88651f5/13/5116906484f2933e26a00050d503d267/261634417.JPG","N243693","Land Only","S","6293 MACABAR ROAD","Deka/Sulphurous/Hathaway Lakes","$34,500","53",,,"0.00",,"5/28/2015","$34,500"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261343262/0/60/45/5b2dae2c13b11833a4a08a796006430a/13/11f6a04a99f8ba0038dacb3c30297d10/261343262.JPG","N240683","Land Only","S","1745 MARBLE STREET","Red Bluff/Dragon Lake","$36,500","214",,,"0.00",,"5/30/2015","$36,500"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261592322/0/60/45/9984f77e333fa084b7e7b91a1b8916f5/15/6ea076975514e9035c5342ca5f2dea07/261592322.JPG","F1435620","Residential Detached","S","34 13650 80TH AVENUE","Bear Creek Green Timbers","$38,000","73","3","1976","0.00","MANUF","5/28/2015","$38,000"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261678919/0/60/45/99ed66019481063be1a2e3a704dbb2b1/15/00c4852690594ab596585bfb822c02cc/261678919.JPG","F1438946","Residential Detached","S","148 3665 244TH STREET","Otter District","$38,500","34","2","9999","0.00","MANUF","5/26/2015","$38,500"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261470183/0/60/45/c458ebfcfcc40758f80c51b32ef6457a/15/b58504cb0dccfbfa363ab8baf5d77d4f/261470183.JPG","F1430714","Land Only","S","44296 BAYVIEW ROAD","Lake Errock","$40,000","127",,,"20,473.20",,"5/28/2015","$40,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261735863/0/60/45/96ebc690ae703842cd0f7b8985c58659/13/65ce4d08596141625894c5d1f1e81f3d/261735863.JPG","N245001","Land Only","S","LOT B JARDINE LOOP ROAD","Cluculz Lake","$42,000","16",,,"0.00",,"5/27/2015","$42,000"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261732122/0/60/45/c3467dca51a33b2b7e6d9f77c2224738/15/cd5590c2fd3db28c19afc335a9cc48c7/261732122.JPG","F1441004","Residential Detached","S","103 1840 160 STREET","King George Corridor","$42,000","20","2","1975","0.00","MANUF","5/28/2015","$42,000"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261709531/0/60/45/ea360f594d09685822787ba1f34db34a/13/ef71613b1093bf5122cde7202f7ea464/261709531.JPG","N244663","Residential Detached","S","65 4625 GRAHAM AVENUE","Terrace - City","$47,500","24","2","1977","0.00","MANUF","5/27/2015","$47,500"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261437287/0/60/45/070187ddf8bdaf5e8c7752ac43c9ef7f/14/221102864a12a14d0e49a53aac3a2742/261437287.JPG","H2150057","Residential Detached","S","47 52324 YALE ROAD","Rosedale Center","$65,000","142","3","1988","0.00","MANUF","5/27/2015","$65,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261638922/0/60/45/8b9863ec3239d4e3ee03e1dc0d3a75f0/13/cd0240bfe7dce15b33eccd91d62c7096/261638922.JPG","N243745","Land Only","S","8393 PETER ROAD","North Kelly","$72,500","52",,,"0.00",,"5/29/2015","$72,500"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261672545/0/60/45/5b8e2bb1aecc867339350e5d5edfddfc/15/e56ca32dda67ab3a15bd4e01948c941d/261672545.JPG","F1438660","Residential Attached","S","105 32055 OLD YALE ROAD","Abbotsford West","$75,000","38","1","1980","0.00","APTU","5/28/2015","$75,000"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261593950/0/60/45/45db57fac5fbdb1ce4c1181d27aeac8c/15/1f4bfcbd06d6524e5d27f787089cdef9/261593950.JPG","F1435698","Residential Attached","S","317 2277 MCCALLUM ROAD","Central Abbotsford","$75,000","78","2","1984","0.00","APTU","5/29/2015","$75,000"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261529324/0/60/45/a873ff8dbf665adb872a97bd6efe20d0/14/adfe7fec12402140ce4bfb7aa6e45ac5/261529324.JPG","H2150660","Residential Attached","S","16 46160 PRINCESS AVENUE","Chilliwack E Young-Yale","$75,000","101","2","1991","0.00","APTU","5/31/2015","$75,000"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261516640/0/60/45/894f9f40cf27bd0520f1746ff52612cd/13/d16da0ad2f79e9a177de464b66ea49e5/261516640.JPG","N242368","Residential Detached","S","3248 CANIM-HENDRIX LAKE ROAD","Canim/Mahood Lake","$75,280","112","1","1993","0.00","HACR","5/26/2015","$75,280"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261703912/0/60/45/4b6ea45dc8239ea6c7835a09a0827e7f/13/daf085fc4a6f05a3b81d3e02d89fbfb2/261703912.JPG","N244601","Land Only","S","1649 EDMONTON STREET","Seymour","$81,000","27",,,"3,300.00",,"5/27/2015","$81,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Static/60/45/1dbcd38db8d1129a033b8c2f4da344ac/NoPhotoAvailable.jpg","N238150","Land Only","S","LOT 1 UPLAND ROAD","Smithers - Rural","$85,000","318",,,"0.00",,"5/28/2015","$85,000"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261542589/0/60/45/1688b5d042f71fc4553a129f04a504f4/15/0b2d9cb701cf496e6880931fae082a71/261542589.JPG","H2150729","Residential Attached","S","401 46777 YALE ROAD","Chilliwack E Young-Yale","$87,000","96","1","1993","0.00","APTU","5/31/2015","$87,000"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261700364/0/60/45/1659192bf54d3800fbe7f4b47439abac/13/e2b3a2403a2ba8ba65b63c327d73e3bb/261700364.JPG","N244556","Residential Detached","S","9 5016 PARK AVENUE","Terrace - City","$87,500","27","2","1991","0.00","MANUF","5/26/2015","$87,500"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261781096/0/60/45/b0c7b79f08f91157d8814e94390ecca4/15/b0478e7bf952984b6f27a97256aabbb5/261781096.JPG","F1442820","Residential Detached","S","401 1840 160TH STREET","King George Corridor","$88,000","2","2","1993","0.00","MANUF","5/30/2015","$88,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261698764/0/60/45/7ce1bdcbecbcd5ad80052cdaba1f80e8/13/29b3aed47dad3a681e0363d7615962e4/261698764.JPG","N244544","Land Only","S","N 101ST ROAD","Fort St. John - Rural E 100th","$92,000","32",,,"0.00",,"5/31/2015","$92,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261611948/0/60/45/d1e65fe6b2692739b99918d95ae3d721/13/ddb6176d032905c4d23aac2f14d16187/261611948.JPG","N243405","Residential Detached","S","4410 CANIM-HENDRIX ROAD","Canim/Mahood Lake","$92,500","69","2","9999","0.00","HOUSE","5/28/2015","$92,500"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261784956/0/60/45/9269f59a057d14626c80451f1e36d31e/13/203ec4493537b29897b8410e47e26d7b/261784956.JPG","N245576","Residential Detached","S","72 4625 GRAHAM AVENUE","Terrace - City","$94,000","1","3","1984","0.00","MANUF","5/30/2015","$94,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261442342/0/60/45/38b00207d34c3a6590a75ef0dfc0057d/13/ea4911e98c4d8348170ed2a53547499d/261442342.JPG","N241648","Residential Attached","S","2201 CATALINE COURT","Houston - Town","$97,000","143","3","1978","0.00","DUPXH","5/29/2015","$97,000"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261698146/0/60/45/f57bd7196107dad47adec9d57dbee5ba/13/c7967b959fe8d421e8df91552cac4b71/261698146.JPG","N244535","Land Only","S","4650 CHIEF LAKE ROAD","North Kelly","$100,000","29",,,"0.00",,"5/26/2015","$100,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261767406/0/60/45/9ac693040974cdcaa866f72411270378/15/0de788bee5b6f261faf61fd6d484627d/261767406.JPG","F1442277","Residential Attached","S","353 2821 TIMS STREET","Abbotsford West","$105,000","2","2","1976","0.00","APTU","5/27/2015","$105,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261518318/0/60/45/204b7adbffc8e992cfee6e097fa943aa/15/296dc7696fee91441603a86eeabab3d8/261518318.JPG","F1432762","Residential Detached","S","164 3665 244TH AVENUE","Otter District","$105,000","106","2","1980","0.00","MANUF","5/31/2015","$105,000"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261737089/0/60/45/5ac542b3e3bedd0dad05376498d4fdd7/16/2c4810be10834b3e4138954336bb6765/261737089.JPG","V1122746","Residential Attached","S","206 11510 225TH STREET","East Central","$108,000","17","1","1987","0.00","APTU","5/30/2015","$108,000"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261364011/0/60/45/09cf8d987606223bcf183e0b72bce4bd/15/6d962f953902c4c79e64143ae29dc8bc/261364011.JPG","F1426631","Residential Attached","S","314 9655 KING GEORGE BOULEVARD","Whalley","$115,000","201","1","2009","0.00","APTU","5/26/2015","$115,000"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261735542/0/60/45/13552c941578dbb20822cdf120953d0c/15/7cf3cd46e5b606913bd96ace2059dae5/261735542.JPG","F1441128","Residential Attached","S","116 1755 SALTON ROAD","Central Abbotsford","$115,000","19","2","1990","0.00","APTU","5/30/2015","$115,000"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261499106/0/60/45/4469b633c089ac6e9b8dbaca7c910f9a/14/ffa25f350c8d8acfe1a278fe5c688684/261499106.JPG","H2150486","Residential Detached","S","47390 ADAMSKI ROAD","Boston Bar - Lytton","$115,677","115","2","9999","6,839.00","HOUSE","5/31/2015","$115,677"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261595643/0/60/45/10ecd39c59207e437e345683d7207115/15/151f0c8735d24539968f9f2749a9d548/261595643.JPG","F1435774","Residential Attached","S","121 2565 CAMPBELL AVENUE","Central Abbotsford","$117,022","72","1","2015","0.00","APTU","5/27/2015","$117,022"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261590370/0/60/45/a04c0f3e712bce8e21e71a8cdd694c9f/13/8120c65d99677333420420bbf9a33dd4/261590370.JPG","N243115","Residential Detached","S","125 8420 ALASKA ROAD","Fort St. John - City SE","$118,000","73","2","1996","0.00","MANUF","5/27/2015","$118,000"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261600140/0/60/45/2bb8a2ca7208ce871a314c81047da918/13/23a3c7591876cd7a3d0c7180d654a318/261600140.JPG","N243196","Residential Detached","S","2731 GUNN ROAD","Airport","$120,000","77","3","9999","9,900.00","HOUSE","5/30/2015","$120,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261620790/0/60/45/ca08d3c6138bd0e4a209b37bbd03416f/14/79d6f1fcdc7e11273c2ff7761a8559c7/261620790.JPG","H2151213","Residential Attached","S","301 1275 SCOTT DRIVE","Hope Center","$120,000","60","2","1995","0.00","TWNHS","5/29/2015","$120,000"
"0","//cdnparap130.paragonrels.com/ParagonImages/Static/60/45/1dbcd38db8d1129a033b8c2f4da344ac/NoPhotoAvailable.jpg","F1441860","Residential Attached","S","205 14935 100TH AVENUE","Guildford","$121,000","9","1","1982","0.00","APTU","5/29/2015","$121,000"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261592771/0/60/45/45956bf46739dc33b274ebb4690e0adb/15/6d6fdc125b3b9101fd4371419529c26c/261592771.JPG","F1435631","Residential Attached","S","119 10221 133A STREET","Whalley","$122,000","76","1","1982","0.00","APTU","5/28/2015","$122,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261402840/0/60/45/d1b603dbcd2918841e846ed55f0a8819/13/63b30ce7e2d89cc67a5be39ae46fc882/261402840.JPG","N241243","Land Only","S","DL 1965 WILLOW CALE FORESTRY ROAD","Danson","$125,000","192",,,"0.00",,"5/30/2015","$125,000"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261622015/0/60/45/7dbb13fdef4324111537c1a6ea8781fe/13/66621f3dc19a23f4a935a119fefca88c/261622015.JPG","N243523","Residential Detached","S","1330 SMEDLEY ROAD","Williams Lake - Rural North","$127,177","61","3","1973","0.00","MNFLD","5/30/2015","$127,177"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261477786/0/60/45/1a1c7251ed3a50cc53f4a6b1d91b765b/16/5c14b8964595857c179911158377ae9b/261477786.JPG","V1101823","Residential Attached","S","408 12283 224TH STREET","West Central","$127,500","118","1","2009","0.00","APTU","5/26/2015","$127,500"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261578586/0/60/45/df3441b01f07ffb93455fa9f4d085bf1/13/3e18efeac31c50f4d3926f8eed447abf/261578586.JPG","N242963","Residential Detached","S","3397 MOUNTAIN HOUSE ROAD","Williams Lake - Rural North","$128,000","87","3","9999","0.00","HACR","5/30/2015","$128,000"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261561655/0/60/45/758a2e274f76f01dcea1a5235ffaff5f/16/3fc60cede6f3370eae12e4794cf1e270/261561655.JPG","V1109312","Residential Attached","S","303 2429 HAWTHORNE AVENUE","Central Pt Coquitlam","$128,100","83","1","1992","0.00","APTU","5/28/2015","$128,100"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261422863/0/60/45/b7fc4042bdd547309bca2307c3977e46/13/ba4b269a5ca00e96ad4e3032f287837d/261422863.JPG","N241450","Land Only","S","6173 LITTLE FORT 24 HIGHWAY","Lone Butte/Green Lk/Watch Lk","$130,000","162",,,"0.00",,"5/28/2015","$130,000"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261758998/0/60/45/f43ae78315fcf3feed634c75b1b57f5c/13/8e102387d7af1a7f364bf30c95592034/261758998.JPG","N245288","Residential Detached","S","3921 KNIGHT CRESCENT","Emerald","$131,000","9","3","1972","0.00","MNFLD","5/30/2015","$131,000"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261602782/0/60/45/09148c492141b519f8713fb6cf3b4ef8/16/43142a54ae532a4c4f8e5aadc4e4e0e4/261602782.JPG","F1436015","Residential Attached","S","411 31831 PEARDONVILLE ROAD","Abbotsford West","$133,000","98","2","1994","0.00","APTU","5/26/2015","$133,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261039550/0/60/45/e3130f721e4b093e3d69779f117c3aff/13/7c2e1d027a611d2de726824eab37eda4/261039550.JPG","N236806","Land Only","S","LOT 37 PARKVIEW CRESCENT","Charella/Starlane","$134,000","358",,,"0.00",,"5/27/2015","$134,000"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261702444/0/60/45/30c7f657ce220e5ec643a3322ca124bd/15/2ea16ea226266571de7cf73a1bbfc607/261702444.JPG","F1439829","Residential Attached","S","207 17661 58A AVENUE","Cloverdale BC","$134,500","28","2","1981","0.00","APTU","5/27/2015","$134,500"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261287833/0/60/45/e69f749c1b1fb1714ca1ce70e9e77bcf/13/e2d1f46ca1dd65d5bba044a540ebf8a7/261287833.JPG","N240171","Residential Detached","S","121 E 9TH AVENUE","Prince Rupert - City","$134,500","240","2","9999","0.00","HOUSE","5/29/2015","$134,500"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261327688/0/60/45/f8c875bd2fc98a2c7b37057f0da1499f/16/de573500d75cbe95c8997f46d61ea74e/261327688.JPG","V1090871","Residential Attached","S","106 8011 RYAN ROAD","South Arm","$135,000","219","3","1973","0.00","APTU","5/27/2015","$135,000"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261568324/0/60/45/69fe2c115a22d9e7966c2c9ed4aa30d0/13/397c071c9f09962388cfe360158af530/261568324.JPG","N242835","Residential Detached","S","15942 KENNER ROAD","Fort St. James - Town","$138,000","84","3","9999","0.00","HACR","5/27/2015","$138,000"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261737068/0/60/45/07a9a23688395035fd07da1b6e7cd372/13/29ab620732050ac1c5656642fd348969/261737068.JPG","N245024","Residential Detached","S","550 W ASH STREET","Fort St. James - Town","$140,000","13","4","1977","0.00","HOUSE","5/26/2015","$140,000"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261456575/0/60/45/e330b24195aabbd6761867f76729f1aa/16/e8efcb37325a4b382e0e58e99e2e27b0/261456575.JPG","F1430097","Residential Attached","S","232 9979 140TH STREET","Whalley","$140,000","135","1","1999","0.00","APTU","5/27/2015","$140,000"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/256013533/0/60/45/1ef22bc40c66ee57893e7b021999407e/16/431d4280e92283de80614137a17c5e39/256013533.JPG","V661201","Land Only","S","LOT 38 SUNDANCE PLACE","Gibsons & Area","$140,000","2870",,,"24,230.00",,"5/29/2015","$140,000"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261662674/0/60/45/be83462a7b9e0807a7182d8b0380107d/15/8fcdf53d78afccf13ee96bfb923c3ff5/261662674.JPG","F1438281","Residential Attached","S","203 15140 108TH AVENUE","Guildford","$145,000","46","1","1994","0.00","APTU","5/26/2015","$145,000"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261573188/0/60/45/5b74f69f3138643dfc42e58b5f0c10a2/16/b3ef214f1f563ab920f238d7e1d52ae6/261573188.JPG","V1110285","Residential Detached","S","12755 LAGOON ROAD","Pender Harbour Egmont","$145,000","77","2","9999","0.00","HOUSE","5/26/2015","$145,000"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261749557/0/60/45/e83316581686692c5f496a6a4db8f353/14/759dc0b0cc99c27a32a5cab49025d6be/261749557.JPG","H2152022","Residential Detached","S","102 46511 CHILLIWACK LAKE ROAD","Chilliwack River Valley","$148,000","10","2","1980","0.00","MNFLD","5/29/2015","$148,000"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261516569/0/60/45/b0e921ca756a7da45e38b62a863810f4/15/2ce29239e2395a6b829c863ef84da1b6/261516569.JPG","H2150583","Land Only","S","66386 KAWKAWA LAKE ROAD","Hope Kawkawa Lake","$149,500","101",,,"131,020.00",,"5/26/2015","$149,500"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261720571/0/60/45/dbd31554b2b1bb1082d2f67f48d7cfa2/15/f394ac5c16bbb714a13edbc3b0ddb22f/261720571.JPG","V1121493","Residential Attached","S","403 12020 207A STREET","Northwest Maple Ridge","$150,000","25","1","2005","0.00","APTU","5/29/2015","$150,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261671100/0/60/45/9aff62550f3df2a89edb074c8e4921a9/15/b1136687cb7101031fac7161fbf5ed9c/261671100.JPG","F1438600","Residential Attached","S","406 7475 138TH STREET","East Newton","$153,000","36","1","1994","0.00","APTU","5/26/2015","$153,000"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261767741/0/60/45/cce33830ef1c2acd0768a0b2ae83cf81/13/9a788aa8a84c5397154b0f95d0398b13/261767741.JPG","N245382","Residential Detached","S","206 DOUGLAS STREET","Central","$153,000","5","2","1948","6,000.00","HOUSE","5/30/2015","$153,000"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261710900/0/60/45/f9199962ae55d25ef3ec79a7c7c96f41/13/9621d4f2fa56e4b9fafb014c0f7bf5d0/261710900.JPG","N244685","Residential Attached","S","2331 NORWOOD STREET","VLA","$153,000","27","3","9999","3,005.00","DUPXH","5/29/2015","$153,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261628212/0/60/45/44b8cd826d66c596d73e4d1ef1dee54b/15/07833a5fe6b21fb1b78ffccd8c74b2e4/261628212.JPG","F1436964","Residential Attached","S","310 1755 SALTON ROAD","Central Abbotsford","$155,000","55","2","1990","0.00","APTU","5/26/2015","$155,000"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261688074/0/60/45/5a29b674883b200446a40bf974b4105b/16/5a5d6e8da1c81f60039020f7739f122b/261688074.JPG","V1118990","Residential Attached","S","919 4090 WHISTLER WAY","Whistler Village","$155,000","32","1","2000","0.00","APTU","5/26/2015","$155,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261783374/0/60/45/1d50cdf2927fd834ba8e59865c7fbe99/13/5506bbc4d4f37d5e8acd95b7d2257e3a/261783374.JPG","N245560","Residential Detached","S","11 MANSON CRESCENT","Mackenzie -Town","$155,000","0","3","1971","8,885.00","HOUSE","5/27/2015","$155,000"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261317015/0/60/45/0ae14c2139bf1f8e11f90a5aa2c9130b/13/3231bae00c0bcd1c2b0253bda58385b2/261317015.JPG","N240438","Residential Detached","S","41 OSPIKA CRESCENT","Mackenzie -Town","$155,000","231","3","1970","7,200.00","HOUSE","5/28/2015","$155,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261787152/0/60/45/f46a17f7d434d8e43e2046f605b9e144/14/c64c3a9b7b001baeffee08bd4f701684/261787152.JPG","H2152223","Residential Attached","S","49 7715 LUCKAKUCK PLACE","Sardis West Vedder Rd","$156,000","1","3","1994","0.00","TWNHS","5/31/2015","$156,000"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261488928/0/60/45/6849e899da20c5f424cc29ff1962a1f1/15/46800a6d9efb8da6934c03d65fec5d5d/261488928.JPG","F1431551","Residential Attached","S","329 2700 MCCALLUM ROAD","Central Abbotsford","$156,000","132","2","1989","0.00","APTU","5/29/2015","$156,000"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261746569/0/60/45/4a5cafa21a7707455062e04bf14847ae/13/292ac943a1a32d6f7d1ee00013a1ba96/261746569.JPG","N245112","Residential Detached","S","1743 BIRCH AVENUE","Red Bluff/Dragon Lake","$157,000","8","4","1960","0.00","HOUSE","5/26/2015","$157,000"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261757546/0/60/45/8ef702bcd9d3e6c1f5dd3e683ff81b0f/15/2b0a66f99c89cffc836994f0c84897a7/261757546.JPG","F1441938","Residential Attached","S","202 33728 KING ROAD","Poplar","$158,500","5","2","1998","0.00","APTU","5/30/2015","$158,500"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261454420/0/60/45/540e86fed6e1c36bcc7290210269fb75/13/9086a70f2fefc276bd116ab58cd48b5d/261454420.JPG","N241777","Residential Attached","S","2418 WEBBER CRESCENT","Pinewood","$160,000","137","5","1971","3,525.00","DUPXH","5/30/2015","$160,000"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261670743/0/60/45/d8690d494f6e151da714d85aa303103c/13/df44ae87234028813292ef8c80a73010/261670743.JPG","N244182","Residential Detached","S","270 E 9TH AVENUE","Prince Rupert - City","$160,000","39","2","9999","2,791.00","HOUSE","5/26/2015","$160,000"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261577247/0/60/45/335fb07b8495322b0ed69194e5b17dce/13/a98c914eb5d9dd9d91377531e874e298/261577247.JPG","N242948","Residential Detached","S","505 CENTENNIAL DRIVE","Mackenzie -Town","$160,000","79","3","1971","7,047.00","HOUSE","5/29/2015","$160,000"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261654052/0/60/45/03ecd9ad10243ad36d6753d69539fe56/16/69747514c92ad8444c8cc0f42163b981/261654052.JPG","F1437922","Residential Attached","S","213 13740 75A AVENUE","East Newton","$162,000","50","1","2011","0.00","APTU","5/27/2015","$162,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261650165/0/60/45/0d7fd7cec49000a604de47da26ca8414/16/8e933785da8d4330c1f860ed68af87aa/261650165.JPG","V1116175","Residential Attached","S","306 195 MARY STREET","Port Moody Centre","$162,000","43","1","1972","0.00","APTU","5/26/2015","$162,000"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261573572/0/60/45/ec1910875e2ab6f0dffe508ed0c000c2/13/a4320fc6208a6e1f9c9bc4515be37ebd/261573572.JPG","N242899","Residential Detached","S","42 9203 82ND STREET","Fort St. John - City SE","$164,000","82","3","2006","0.00","MANUF","5/30/2015","$164,000"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261729530/0/60/45/1f59aee43eade8f2c045c0e5bf9709ac/13/285c74c58c618853ae3b900feae17062/261729530.JPG","N244940","Residential Detached","S","1014 OPAL STREET","Esler/Dog Creek","$165,000","19","5","9999","0.00","HOUSE","5/28/2015","$165,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261492163/0/60/45/bce8601986bbf7af50b6b64ec1deb63e/16/6baea800b2e73ef37eb5f5575b9227ea/261492163.JPG","V1103170","Residential Attached","S","107 515 ELEVENTH STREET","Uptown NW","$172,500","117","2","1974","0.00","APTU","5/31/2015","$172,500"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261756447/0/60/45/59ba3a3102521382999408c4714722c7/13/1f67a7e070fd1f62a4d9c13ebe790c2a/261756447.JPG","N245253","Residential Detached","S","1497 MCCULLAGH AVENUE","VLA","$172,900","8","4","1999","6,600.00","HOUSE","5/29/2015","$172,900"
"0","//cdnparap130.paragonrels.com/ParagonImages/Static/60/45/1dbcd38db8d1129a033b8c2f4da344ac/NoPhotoAvailable.jpg","N246828","Land Only","S","LOT 43 115TH AVENUE","Fort St. John - City NW","$174,900","21",,,"0.00",,"5/26/2015","$174,900"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261713686/0/60/45/0e7ccd202d706505cbe727757861bdd2/16/3afb6ad54e5a24703a5bd053d302ff95/261713686.JPG","F1440287","Residential Attached","S","106 1555 FIR STREET","White Rock","$175,000","22","2","1975","0.00","APTU","5/26/2015","$175,000"
